x,y,r
-5.000000000,-3.464101615,0.290000000
-4.000000000,-3.464101615,0.290000000
-3.000000000,-3.464101615,0.290000000
-2.000000000,-3.464101615,0.290000000
-1.000000000,-3.464101615,0.290000000
0.000000000,-3.464101615,0.290000000
1.000000000,-3.464101615,0.290000000
2.000000000,-3.464101615,0.290000000
3.000000000,-3.464101615,0.290000000
4.000000000,-3.464101615,0.290000000
5.000000000,-3.464101615,0.290000000
-4.500000000,-2.598076211,0.290000000
-3.500000000,-2.598076211,0.290000000
-2.500000000,-2.598076211,0.290000000
-1.500000000,-2.598076211,0.290000000
-0.500000000,-2.598076211,0.290000000
0.500000000,-2.598076211,0.290000000
1.500000000,-2.598076211,0.290000000
2.500000000,-2.598076211,0.290000000
3.500000000,-2.598076211,0.290000000
4.500000000,-2.598076211,0.290000000
5.500000000,-2.598076211,0.290000000
-5.000000000,-1.732050808,0.290000000
-4.000000000,-1.732050808,0.290000000
-3.000000000,-1.732050808,0.290000000
-2.000000000,-1.732050808,0.290000000
-1.000000000,-1.732050808,0.290000000
0.000000000,-1.732050808,0.290000000
1.000000000,-1.732050808,0.290000000
2.000000000,-1.732050808,0.290000000
3.000000000,-1.732050808,0.290000000
4.000000000,-1.732050808,0.290000000
5.000000000,-1.732050808,0.290000000
-4.500000000,-0.866025404,0.290000000
-3.500000000,-0.866025404,0.290000000
-2.500000000,-0.866025404,0.290000000
-1.500000000,-0.866025404,0.290000000
-0.500000000,-0.866025404,0.290000000
0.500000000,-0.866025404,0.290000000
1.500000000,-0.866025404,0.290000000
2.500000000,-0.866025404,0.290000000
3.500000000,-0.866025404,0.290000000
4.500000000,-0.866025404,0.290000000
5.500000000,-0.866025404,0.290000000
-5.000000000,0.000000000,0.290000000
-4.000000000,0.000000000,0.290000000
-3.050000000,0.000000000,0.290000000
-2.150000000,0.000000000,0.290000000
2.150000000,0.000000000,0.290000000
3.050000000,0.000000000,0.290000000
4.000000000,0.000000000,0.290000000
5.000000000,0.000000000,0.290000000
-4.500000000,0.866025404,0.290000000
-3.500000000,0.866025404,0.290000000
-2.500000000,0.866025404,0.290000000
-1.500000000,0.866025404,0.290000000
-0.500000000,0.866025404,0.290000000
0.500000000,0.866025404,0.290000000
1.500000000,0.866025404,0.290000000
2.500000000,0.866025404,0.290000000
3.500000000,0.866025404,0.290000000
4.500000000,0.866025404,0.290000000
5.500000000,0.866025404,0.290000000
-5.000000000,1.732050808,0.290000000
-4.000000000,1.732050808,0.290000000
-3.000000000,1.732050808,0.290000000
-2.000000000,1.732050808,0.290000000
-1.000000000,1.732050808,0.290000000
0.000000000,1.732050808,0.290000000
1.000000000,1.732050808,0.290000000
2.000000000,1.732050808,0.290000000
3.000000000,1.732050808,0.290000000
4.000000000,1.732050808,0.290000000
5.000000000,1.732050808,0.290000000
-4.500000000,2.598076211,0.290000000
-3.500000000,2.598076211,0.290000000
-2.500000000,2.598076211,0.290000000
-1.500000000,2.598076211,0.290000000
-0.500000000,2.598076211,0.290000000
0.500000000,2.598076211,0.290000000
1.500000000,2.598076211,0.290000000
2.500000000,2.598076211,0.290000000
3.500000000,2.598076211,0.290000000
4.500000000,2.598076211,0.290000000
5.500000000,2.598076211,0.290000000
-5.000000000,3.464101615,0.290000000
-4.000000000,3.464101615,0.290000000
-3.000000000,3.464101615,0.290000000
-2.000000000,3.464101615,0.290000000
-1.000000000,3.464101615,0.290000000
0.000000000,3.464101615,0.290000000
1.000000000,3.464101615,0.290000000
2.000000000,3.464101615,0.290000000
3.000000000,3.464101615,0.290000000
4.000000000,3.464101615,0.290000000
5.000000000,3.464101615,0.290000000
